Level,List,Study,Media,Answer,Prompt
J1,List 1,Practice 1,,one,Can you spell this?
J1,List 1,Practice 1,,two,Can you spell this?
J1,List 1,Practice 1,,three,Can you spell this?
J1,List 1,Practice 1,,four,Can you spell this?
J1,List 1,Practice 1,,five,Can you spell this?
J1,List 1,Practice 1,,eight,Can you spell this?
J1,List 1,Practice 1,,eleven,Can you spell this?
J1,List 1,Practice 1,,twelve,Can you spell this?
J1,List 1,Practice 1,,thirteen,Can you spell this?
J1,List 1,Practice 1,,fourteen,Can you spell this?
J1,List 1,Practice 1,,fifteen,Can you spell this?
J1,List 1,Practice 1,,sixteen,Can you spell this?
J1,List 1,Practice 1,,seventeen,Can you spell this?
J1,List 1,Practice 1,,nineteen,Can you spell this?
J1,List 1,Practice 1,,twenty,Can you spell this?
J1,List 1,Practice 1,,brother,Can you spell this?
J1,List 1,Practice 1,,sister,Can you spell this?
J1,List 1,Practice 1,,grandfather,Can you spell this?
J1,List 1,Practice 1,,grandmother,Can you spell this?
J1,List 1,Practice 1,,dad,Can you spell this?
J1,List 1,Practice 1,,mum,Can you spell this?
J1,List 1,Practice 1,,pencil,Can you spell this?
J1,List 1,Practice 1,,desk,Can you spell this?
J1,List 1,Practice 1,,book,Can you spell this?
J1,List 1,Practice 1,,table,Can you spell this?
J1,List 1,Practice 2,,black,Can you spell this?
J1,List 1,Practice 2,,orange,Can you spell this?
J1,List 1,Practice 2,,brown,Can you spell this?
J1,List 1,Practice 2,,white,Can you spell this?
J1,List 1,Practice 2,,yellow,Can you spell this?
J1,List 1,Practice 2,,green T-shirt,Can you spell this?
J1,List 1,Practice 2,,purple crayon,Can you spell this?
J1,List 1,Practice 2,,red bike,Can you spell this?
J1,List 1,Practice 2,,blue bag,Can you spell this?
J1,List 1,Practice 2,,grey chair,Can you spell this?
J1,List 1,Practice 2,,pink sofa,Can you spell this?
J1,List 1,Practice 2,,watch,Can you spell this?
J1,List 1,Practice 2,,eraser,Can you spell this?
J1,List 1,Practice 2,,elephant,Can you spell this?
J1,List 1,Practice 2,,ice cream,Can you spell this?
J1,List 1,Practice 2,,umbrella,Can you spell this?
J1,List 1,Practice 2,,horse,Can you spell this?
J1,List 1,Practice 2,,cow,Can you spell this?
J1,List 1,Practice 2,,apple,Can you spell this?
J1,List 1,Practice 2,,sitting room,Can you spell this?
J1,List 1,Practice 2,,dining room,Can you spell this?
J1,List 1,Practice 2,,bathroom,Can you spell this?
J1,List 1,Practice 2,,bedroom,Can you spell this?
J1,List 1,Practice 2,,kitchen,Can you spell this?
J1,List 1,Practice 2,,garage,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-AfyGxo.mp3,professions,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-2jwQth.mp3,instruments,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-Je4zsY.mp3,songwriter,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-ulyHel.mp3,producer,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-7MU27B.mp3,conductor,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-LGtfEf.mp3,keyboard,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-xEhrWv.mp3,bass,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-OumaXo.mp3,electric guitar,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-RocKfb.mp3,live performance,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-bU3gbY.mp3,audience,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-qAdPkB.mp3,has seen,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-4ejXBF.mp3,haven't streamed,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-JAoXQR.mp3,have bought,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-ThcIPm.mp3,hasn't eaten,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-jGoFm1.mp3,have heard,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-T9FWec.mp3,haven't released,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-P4Sr4q.mp3,has tried,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-TLJ70r.mp3,has won,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-szXmzB.mp3,downloaded,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-sI9iV1.mp3,done,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-2eye0C.mp3,forgotten,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-lDCUWG.mp3,written,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-nh6T2w.mp3,spoken,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-pnsuqx.mp3,lived,Can you spell this?
T2,List 3,Practice 1,luvvoice.com-20260824-l5Mweg.mp3,That's right.,Can you spell this?
T2,List 3,Practice 2,,What do you mean?,Can you spell this?
T2,List 3,Practice 2,,Are you serious?,Can you spell this?
T2,List 3,Practice 2,,Exactly.,Can you spell this?
T2,List 3,Practice 2,,aeroplane,Can you spell this?
T2,List 3,Practice 2,,underground,Can you spell this?
T2,List 3,Practice 2,,tram,Can you spell this?
T2,List 3,Practice 2,,spaceship,Can you spell this?
T2,List 3,Practice 2,,lorry,Can you spell this?
T2,List 3,Practice 2,,ferry,Can you spell this?
T2,List 3,Practice 2,,will be very expensive,Can you spell this?
T2,List 3,Practice 2,,probably won't cause,Can you spell this?
T2,List 3,Practice 2,,definitely won't buy,Can you spell this?
T2,List 3,Practice 2,,might lose,Can you spell this?
T2,List 3,Practice 2,,might not sell,Can you spell this?
T2,List 3,Practice 2,,takes off,Can you spell this?
T2,List 3,Practice 2,,getting into,Can you spell this?
